亡びる, n
妨げる, n
忘れる, n
冒す, n
膨れる, n
謀る, n
無くす, n
迷う, n
滅びる, n
面目ない, n
面目無い, n
面目次第もない, n
蒙る, n
目の前が真っ暗になる, n
薬がきかない, n
落ち込む, n
落とされる, n
落としてしまう, n
乱れる, n
理性がきかない, n
裂ける, n
路頭に迷う, n
漏らす, n
漏れる, n
老いる, n
歪む, n
詫びる, n
咎める, n
咬まれる, n
毀す, n
毀れる, n
憑く, n
罹る, n
挾まる, n
涸れる, n
疵付ける, n
縺れる, n
茫然だ, n
茫然です, n
茫然と, n
茫然の, n
茫漠だ, n
躊躇う, n
躓く, n
轢く, n
騙す, n
あいた口がふさがるない, n
あきれるてものが言えるない, n
あくが強い, n
あくどい, n
あざとい, n
あとの祭りだ, n
あとの祭りです, n
あとの祭りと, n
あとの祭りの, n
あばずれだ, n
あばずれです, n
あばずれと, n
あばずれの, n
あほらしい, n
あやしい, n
あやふやだ, n
あやふやです, n
あらい, n
あらっぽい, n
ありきたりだ, n
ありきたりです, n
ありふれる, n
ありふれるた, n
あるがちだ, n
あるがちです, n
あわせにくい, n
あんぽんたんだ, n
あんぽんたんです, n
あんぽんたんと, n
あんぽんたんの, n
いたしかたない, n
いかがわしい, n
いかつい, n
いぎたない, n
いけ好かない, n
いけ図々しい, n
いこじだ, n
いこじです, n
いじいじ, n
いじける, n
いじましい, n
いぶかしい, n
いまいち, n
いまいましい, n
いまひとつ, n
いまわしい, n
いま一つ, n
いやがる, n
いやしい, n
いやらしい, n
いろあせる, n
いわくつき, n
いんちき, n
うじうじ, n
うす汚い, n
うとい, n
うどの大木だ, n
うどの大木です, n
うどの大木と, n
うどの大木の, n
うらめしい, n
うら寂しい, n
うら悲しい, n
えげつない, n
おこがましい, n
おしい, n
おせっかいだ, n
おせっかいです, n
おせっかいと, n
おせっかいの, n
おそい, n
おそまつだ, n
おそまつです, n
おぞましい, n
おためごかしだ, n
おためごかしです, n
おたんこなすだ, n
おたんこなすです, n
おたんこなすと, n
おたんこなすの, n
おっかない, n
おっくうだ, n
おっくうです, n
おっくうと, n
おっくうの, n
おっさんくさい, n
おっちょこちょいだ, n
おっちょこちょいです, n
おばさん臭い, n
おびやかす, n
おもはゆい, n
おんぼろだ, n
おんぼろです, n
おんぼろと, n
おんぼろの, n
お山の大将だ, n
お山の大将です, n
お山の大将と, n
お山の大将の, n
お節介だ, n
お節介です, n
お節介と, n
お節介の, n
お粗末だ, n
お粗末です, n
お粗末と, n
お粗末の, n
かっこ悪い, n
かったるい, n
かみ合わない, n
かわいいげのない, n
かん高い, n
がさつだ, n
がさつです, n
がっかり, n
がつがつ, n
がめつい, n
ききにくい, n
きちきち, n
きつい, n
きびしい, n
きゅうきゅう, n
ぎくしゃく, n
ぎこちない, n
ぎごちない, n
ぎすぎす, n
ぎちぎち, n
ぎゅうぎゅう, n
ぎょうぎょうしい, n
ぎょっと, n
くしゃくしゃ, n
くそまじめだ, n
くそまじめです, n
くだらない, n
くどい, n
ぐしゃぐしゃ, n
ぐしょぐしょだ, n
ぐしょぐしょです, n
ぐじゃぐじゃだ, n
ぐじゃぐじゃです, n
ぐずぐず, n
ぐずる, n
ぐにゃぐにゃ, n
ぐにゃぐにゃだ, n
ぐにゃぐにゃです, n
ぐらぐら, n
ぐらつく, n
けがらわしい, n
けしからんだ, n
けしからんです, n
けしからんと, n
